Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
Average,Beginner,Professional,Beginner,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Beginner,Poor,Not Interested,Professional,Not Interested,Average,Not Interested,Technical Writer
Intermediate,Intermediate,Intermediate,Professional,Poor,Average,Intermediate,Excellent,Beginner,Excellent,Not Interested,Not Interested,Average,Professional,Not Interested,Poor,Professional,Technical Writer
Average,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Average,Beginner,Excellent,Average,Average,Beginner,Professional,Professional,Poor,Beginner,Technical Writer
Poor,Poor,Beginner,Beginner,Not Interested,Beginner,Poor,Average,Average,Excellent,Poor,Poor,Intermediate,Professional,Beginner,Average,Beginner,Technical Writer
Poor,Excellent,Beginner,Not Interested,Beginner,Intermediate,Average,Excellent,Beginner,Excellent,Beginner,Poor,Not Interested,Professional,Poor,Not Interested,Not Interested,Technical Writer
Not Interested,Not Interested,Poor,Average,Poor,Not Interested,Poor,Professional,Excellent,Excellent,Professional,Professional,Not Interested,Professional,Average,Beginner,Average,Technical Writer
Intermediate,Beginner,Poor,Poor,Beginner,Average,Not Interested,Poor,Beginner,Excellent,Excellent,Poor,Beginner,Professional,Beginner,Beginner,Beginner,Technical Writer
Beginner,Intermediate,Average,Intermediate,Beginner,Average,Poor,Professional,Average,Excellent,Intermediate,Average,Intermediate,Professional,Poor,Average,Beginner,Technical Writer
Poor,Beginner,Excellent,Poor,Poor,Poor,Poor,Average,Beginner,Excellent,Excellent,Average,Professional,Professional,Beginner,Not Interested,Poor,Technical Writer
Average,Poor,Beginner,Professional,Professional,Not Interested,Beginner,Intermediate,Not Interested,Excellent,Poor,Beginner,Excellent,Professional,Professional,Not Interested,Poor,Technical Writer
Professional,Beginner,Intermediate,Average,Beginner,Beginner,Average,Beginner,Beginner,Excellent,Beginner,Poor,Intermediate,Professional,Beginner,Poor,Poor,Technical Writer
Not Interested,Average,Not Interested,Not Interested,Average,Professional,Not Interested,Beginner,Poor,Excellent,Beginner,Beginner,Average,Professional,Beginner,Beginner,Professional,Technical Writer
Not Interested,Average,Professional,Intermediate,Not Interested,Intermediate,Beginner,Average,Beginner,Excellent,Poor,Poor,Not Interested,Professional,Average,Not Interested,Poor,Technical Writer
Intermediate,Beginner,Average,Average,Poor,Poor,Average,Average,Intermediate,Excellent,Professional,Not Interested,Average,Professional,Average,Intermediate,Poor,Technical Writer
Beginner,Not Interested,Not Interested,Intermediate,Not Interested,Professional,Intermediate,Average,Excellent,Excellent,Poor,Intermediate,Poor,Professional,Average,Not Interested,Intermediate,Technical Writer
Not Interested,Intermediate,Professional,Average,Beginner,Average,Beginner,Intermediate,Beginner,Excellent,Poor,Poor,Intermediate,Professional,Average,Excellent,Beginner,Technical Writer
Not Interested,Intermediate,Average,Average,Beginner,Intermediate,Average,Average,Professional,Excellent,Average,Professional,Average,Professional,Intermediate,Professional,Average,Technical Writer
Intermediate,Professional,Not Interested,Poor,Poor,Average,Poor,Excellent,Beginner,Excellent,Intermediate,Poor,Not Interested,Professional,Not Interested,Average,Poor,Technical Writer
Intermediate,Beginner,Excellent,Intermediate,Average,Poor,Beginner,Professional,Not Interested,Excellent,Average,Professional,Intermediate,Professional,Intermediate,Not Interested,Beginner,Technical Writer
Excellent,Intermediate,Intermediate,Poor,Intermediate,Not Interested,Intermediate,Average,Professional,Intermediate,Average,Average,Average,Not Interested,Intermediate,Intermediate,Beginner,Database Administrator
Excellent,Average,Professional,Beginner,Poor,Not Interested,Average,Beginner,Average,Poor,Professional,Average,Not Interested,Beginner,Beginner,Intermediate,Intermediate,Database Administrator
Excellent,Excellent,Beginner,Beginner,Average,Intermediate,Excellent,Average,Poor,Average,Not Interested,Average,Average,Poor,Not Interested,Intermediate,Beginner,Database Administrator
Excellent,Average,Average,Poor,Not Interested,Intermediate,Average,Intermediate,Beginner,Intermediate,Intermediate,Average,Intermediate,Not Interested,Poor,Intermediate,Intermediate,Database Administrator
Excellent,Average,Intermediate,Poor,Intermediate,Professional,Not Interested,Intermediate,Poor,Professional,Average,Average,Intermediate,Average,Beginner,Intermediate,Intermediate,Database Administrator
Excellent,Intermediate,Poor,Not Interested,Average,Intermediate,Intermediate,Average,Poor,Poor,Poor,Average,Professional,Beginner,Not Interested,Intermediate,Intermediate,Database Administrator
Excellent,Average,Excellent,Beginner,Beginner,Beginner,Beginner,Not Interested,Excellent,Poor,Poor,Average,Beginner,Beginner,Professional,Intermediate,Average,Database Administrator
Excellent,Professional,Poor,Not Interested,Not Interested,Beginner,Beginner,Average,Intermediate,Poor,Poor,Average,Professional,Intermediate,Poor,Intermediate,Professional,Database Administrator
Excellent,Average,Average,Excellent,Average,Average,Intermediate,Average,Average,Beginner,Average,Average,Professional,Intermediate,Not Interested,Intermediate,Beginner,Database Administrator
Excellent,Beginner,Poor,Poor,Intermediate,Professional,Poor,Average,Professional,Professional,Intermediate,Average,Average,Poor,Professional,Intermediate,Average,Database Administrator
Excellent,Beginner,Beginner,Professional,Excellent,Not Interested,Not Interested,Poor,Beginner,Excellent,Beginner,Average,Not Interested,Not Interested,Beginner,Intermediate,Beginner,Database Administrator
Excellent,Professional,Intermediate,Excellent,Not Interested,Poor,Intermediate,Average,Beginner,Excellent,Intermediate,Average,Beginner,Poor,Beginner,Intermediate,Average,Database Administrator
Excellent,Professional,Beginner,Professional,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Intermediate,Average,Not Interested,Intermediate,Beginner,Intermediate,Professional,Database Administrator
Excellent,Not Interested,Poor,Average,Excellent,Not Interested,Average,Intermediate,Average,Average,Average,Average,Poor,Beginner,Not Interested,Intermediate,Beginner,Database Administrator
Excellent,Professional,Intermediate,Poor,Poor,Beginner,Professional,Poor,Average,Intermediate,Not Interested,Average,Average,Average,Professional,Intermediate,Not Interested,Database Administrator
Excellent,Excellent,Poor,Intermediate,Not Interested,Not Interested,Excellent,Average,Poor,Beginner,Beginner,Average,Excellent,Intermediate,Professional,Intermediate,Poor,Database Administrator
Excellent,Poor,Intermediate,Beginner,Intermediate,Average,Beginner,Average,Beginner,Excellent,Poor,Average,Beginner,Average,Average,Intermediate,Excellent,Database Administrator
Excellent,Beginner,Not Interested,Professional,Professional,Beginner,Not Interested,Beginner,Beginner,Average,Professional,Average,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Database Administrator
Excellent,Professional,Average,Average,Average,Professional,Average,Intermediate,Beginner,Beginner,Beginner,Average,Not Interested,Not Interested,Poor,Intermediate,Average,Database Administrator
Excellent,Beginner,Poor,Not Interested,Average,Beginner,Average,Average,Poor,Average,Not Interested,Average,Intermediate,Average,Not Interested,Intermediate,Beginner,Database Administrator
Excellent,Beginner,Beginner,Poor,Poor,Excellent,Professional,Poor,Beginner,Beginner,Beginner,Average,Beginner,Intermediate,Intermediate,Intermediate,Beginner,Database Administrator
Excellent,Poor,Average,Average,Professional,Beginner,Intermediate,Not Interested,Not Interested,Intermediate,Average,Average,Average,Intermediate,Intermediate,Intermediate,Average,Database Administrator
Excellent,Intermediate,Intermediate,Average,Intermediate,Poor,Poor,Professional,Intermediate,Poor,Average,Average,Average,Professional,Poor,Intermediate,Average,Database Administrator
Excellent,Professional,Excellent,Average,Poor,Average,Not Interested,Beginner,Beginner,Beginner,Intermediate,Average,Poor,Excellent,Intermediate,Intermediate,Excellent,Database Administrator
Excellent,Poor,Average,Professional,Intermediate,Intermediate,Poor,Intermediate,Beginner,Not Interested,Not Interested,Average,Beginner,Not Interested,Not Interested,Intermediate,Poor,Database Administrator
Excellent,Not Interested,Average,Not Interested,Professional,Excellent,Not Interested,Average,Beginner,Not Interested,Professional,Average,Professional,Average,Poor,Intermediate,Poor,Database Administrator
Excellent,Excellent,Excellent,Average,Poor,Average,Professional,Beginner,Not Interested,Not Interested,Poor,Average,Professional,Beginner,Poor,Intermediate,Professional,Database Administrator
Excellent,Not Interested,Average,Average,Intermediate,Not Interested,Average,Intermediate,Poor,Poor,Average,Average,Average,Intermediate,Poor,Intermediate,Not Interested,Database Administrator
Excellent,Not Interested,Beginner,Excellent,Professional,Poor,Average,Poor,Beginner,Not Interested,Average,Average,Average,Poor,Average,Intermediate,Beginner,Database Administrator
Excellent,Not Interested,Professional,Intermediate,Beginner,Poor,Average,Average,Intermediate,Beginner,Beginner,Average,Average,Not Interested,Excellent,Intermediate,Average,Database Administrator
Excellent,Poor,Professional,Beginner,Excellent,Not Interested,Beginner,Intermediate,Intermediate,Not Interested,Average,Average,Professional,Intermediate,Average,Intermediate,Not Interested,Database Administrator
Excellent,Beginner,Average,Average,Poor,Average,Poor,Professional,Average,Average,Average,Average,Beginner,Intermediate,Beginner,Intermediate,Beginner,Database Administrator
Excellent,Professional,Professional,Average,Poor,Not Interested,Beginner,Excellent,Average,Average,Professional,Average,Professional,Intermediate,Intermediate,Intermediate,Average,Database Administrator
Excellent,Poor,Average,Average,Poor,Beginner,Beginner,Professional,Average,Professional,Beginner,Average,Poor,Not Interested,Poor,Intermediate,Average,Database Administrator
Excellent,Intermediate,Intermediate,Poor,Beginner,Professional,Beginner,Beginner,Professional,Poor,Intermediate,Average,Intermediate,Professional,Beginner,Intermediate,Intermediate,Database Administrator
Excellent,Average,Poor,Beginner,Professional,Beginner,Professional,Poor,Intermediate,Professional,Professional,Average,Professional,Beginner,Excellent,Intermediate,Poor,Database Administrator
Excellent,Not Interested,Average,Excellent,Not Interested,Intermediate,Intermediate,Poor,Professional,Intermediate,Poor,Average,Average,Average,Beginner,Intermediate,Poor,Database Administrator
Excellent,Intermediate,Intermediate,Beginner,Average,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Average,Average,Poor,Not Interested,Intermediate,Professional,Database Administrator
Excellent,Beginner,Beginner,Intermediate,Poor,Average,Intermediate,Not Interested,Not Interested,Poor,Average,Average,Poor,Beginner,Intermediate,Intermediate,Average,Database Administrator
Excellent,Not Interested,Intermediate,Not Interested,Average,Beginner,Intermediate,Beginner,Not Interested,Beginner,Average,Average,Excellent,Average,Not Interested,Intermediate,Beginner,Database Administrator
Excellent,Poor,Professional,Not Interested,Average,Not Interested,Not Interested,Average,Professional,Average,Beginner,Average,Poor,Poor,Professional,Intermediate,Excellent,Database Administrator
Excellent,Average,Beginner,Intermediate,Intermediate,Beginner,Not Interested,Poor,Poor,Not Interested,Professional,Average,Not Interested,Average,Not Interested,Intermediate,Not Interested,Database Administrator
Excellent,Poor,Poor,Beginner,Not Interested,Poor,Average,Excellent,Poor,Beginner,Not Interested,Average,Average,Average,Not Interested,Intermediate,Not Interested,Database Administrator
Excellent,Average,Intermediate,Not Interested,Beginner,Intermediate,Average,Poor,Poor,Poor,Intermediate,Average,Professional,Average,Poor,Intermediate,Intermediate,Database Administrator
Excellent,Beginner,Not Interested,Poor,Poor,Poor,Average,Not Interested,Beginner,Not Interested,Beginner,Average,Excellent,Not Interested,Excellent,Intermediate,Not Interested,Database Administrator
Excellent,Professional,Beginner,Poor,Average,Average,Not Interested,Intermediate,Average,Beginner,Average,Average,Intermediate,Poor,Professional,Intermediate,Average,Database Administrator
Excellent,Not Interested,Intermediate,Poor,Average,Average,Average,Beginner,Poor,Average,Average,Average,Not Interested,Beginner,Beginner,Intermediate,Poor,Database Administrator
Excellent,Professional,Not Interested,Not Interested,Average,Intermediate,Intermediate,Beginner,Poor,Average,Beginner,Average,Excellent,Beginner,Professional,Intermediate,Average,Database Administrator
Excellent,Not Interested,Poor,Intermediate,Not Interested,Average,Professional,Professional,Beginner,Intermediate,Poor,Average,Intermediate,Poor,Average,Intermediate,Average,Database Administrator
Excellent,Not Interested,Excellent,Beginner,Poor,Poor,Poor,Not Interested,Intermediate,Beginner,Professional,Average,Average,Intermediate,Intermediate,Intermediate,Beginner,Database Administrator
Excellent,Beginner,Intermediate,Not Interested,Excellent,Beginner,Professional,Professional,Excellent,Not Interested,Professional,Average,Beginner,Beginner,Beginner,Intermediate,Professional,Database Administrator
Excellent,Not Interested,Professional,Average,Not Interested,Beginner,Not Interested,Professional,Professional,Beginner,Poor,Average,Intermediate,Professional,Average,Intermediate,Average,Database Administrator
Excellent,Not Interested,Beginner,Beginner,Beginner,Beginner,Poor,Professional,Not Interested,Not Interested,Beginner,Average,Intermediate,Professional,Poor,Intermediate,Average,Database Administrator
Excellent,Not Interested,Beginner,Beginner,Poor,Beginner,Poor,Intermediate,Not Interested,Poor,Poor,Average,Average,Poor,Not Interested,Intermediate,Not Interested,Database Administrator
Excellent,Beginner,Beginner,Not Interested,Professional,Intermediate,Intermediate,Beginner,Professional,Poor,Beginner,Average,Excellent,Average,Professional,Intermediate,Excellent,Database Administrator
Excellent,Beginner,Professional,Professional,Average,Not Interested,Excellent,Poor,Average,Beginner,Beginner,Average,Intermediate,Beginner,Intermediate,Intermediate,Average,Database Administrator
Excellent,Average,Not Interested,Not Interested,Beginner,Beginner,Beginner,Professional,Not Interested,Average,Beginner,Average,Poor,Professional,Intermediate,Intermediate,Not Interested,Database Administrator
Excellent,Average,Intermediate,Professional,Average,Intermediate,Not Interested,Not Interested,Not Interested,Intermediate,Average,Average,Excellent,Beginner,Beginner,Intermediate,Poor,Database Administrator
Excellent,Average,Professional,Poor,Intermediate,Excellent,Average,Beginner,Beginner,Average,Average,Average,Professional,Average,Poor,Intermediate,Professional,Database Administrator
Excellent,Average,Professional,Beginner,Intermediate,Beginner,Beginner,Poor,Average,Professional,Beginner,Average,Poor,Beginner,Poor,Intermediate,Not Interested,Database Administrator
Excellent,Poor,Not Interested,Not Interested,Intermediate,Average,Not Interested,Poor,Average,Excellent,Beginner,Average,Average,Poor,Not Interested,Intermediate,Average,Database Administrator
Excellent,Intermediate,Poor,Excellent,Excellent,Poor,Beginner,Beginner,Poor,Intermediate,Beginner,Average,Poor,Not Interested,Poor,Intermediate,Beginner,Database Administrator
Excellent,Average,Poor,Professional,Not Interested,Poor,Average,Average,Professional,Not Interested,Beginner,Average,Beginner,Beginner,Excellent,Intermediate,Beginner,Database Administrator
Excellent,Poor,Average,Professional,Intermediate,Not Interested,Not Interested,Poor,Average,Beginner,Not Interested,Average,Beginner,Excellent,Beginner,Intermediate,Beginner,Database Administrator
Excellent,Poor,Poor,Beginner,Excellent,Excellent,Average,Poor,Average,Not Interested,Poor,Average,Average,Average,Intermediate,Intermediate,Average,Database Administrator
Excellent,Intermediate,Not Interested,Beginner,Poor,Average,Not Interested,Excellent,Average,Average,Excellent,Average,Intermediate,Poor,Intermediate,Intermediate,Average,Database Administrator
Excellent,Beginner,Not Interested,Beginner,Excellent,Intermediate,Poor,Poor,Average,Excellent,Beginner,Average,Poor,Not Interested,Intermediate,Intermediate,Professional,Database Administrator
Excellent,Not Interested,Poor,Average,Not Interested,Average,Average,Poor,Intermediate,Intermediate,Beginner,Average,Beginner,Average,Average,Intermediate,Poor,Database Administrator
Excellent,Average,Average,Poor,Intermediate,Average,Beginner,Poor,Average,Not Interested,Not Interested,Average,Beginner,Beginner,Intermediate,Intermediate,Average,Database Administrator
Excellent,Beginner,Professional,Professional,Average,Not Interested,Professional,Not Interested,Poor,Average,Intermediate,Average,Excellent,Poor,Average,Intermediate,Average,Database Administrator
Excellent,Beginner,Not Interested,Beginner,Intermediate,Beginner,Professional,Poor,Average,Beginner,Excellent,Average,Average,Beginner,Not Interested,Intermediate,Poor,Database Administrator
Excellent,Professional,Not Interested,Poor,Poor,Intermediate,Intermediate,Intermediate,Average,Poor,Poor,Average,Intermediate,Beginner,Not Interested,Intermediate,Not Interested,Database Administrator
Excellent,Not Interested,Intermediate,Average,Beginner,Intermediate,Poor,Average,Beginner,Not Interested,Excellent,Average,Average,Intermediate,Average,Intermediate,Excellent,Database Administrator
Excellent,Not Interested,Intermediate,Average,Excellent,Average,Intermediate,Poor,Average,Poor,Beginner,Average,Beginner,Average,Intermediate,Intermediate,Beginner,Database Administrator
Excellent,Average,Average,Not Interested,Poor,Intermediate,Not Interested,Average,Average,Beginner,Not Interested,Average,Not Interested,Not Interested,Poor,Intermediate,Professional,Database Administrator
Excellent,Professional,Intermediate,Professional,Beginner,Not Interested,Average,Not Interested,Average,Excellent,Excellent,Average,Beginner,Poor,Beginner,Intermediate,Beginner,Database Administrator
Excellent,Average,Professional,Average,Not Interested,Beginner,Poor,Beginner,Average,Average,Intermediate,Average,Professional,Average,Not Interested,Intermediate,Average,Database Administrator
Excellent,Not Interested,Poor,Average,Poor,Professional,Beginner,Intermediate,Not Interested,Poor,Beginner,Average,Beginner,Average,Not Interested,Intermediate,Poor,Database Administrator
Excellent,Not Interested,Intermediate,Beginner,Average,Beginner,Poor,Poor,Intermediate,Professional,Average,Average,Poor,Intermediate,Beginner,Intermediate,Not Interested,Database Administrator
Excellent,Professional,Intermediate,Average,Poor,Average,Beginner,Average,Beginner,Average,Poor,Average,Beginner,Intermediate,Intermediate,Intermediate,Average,Database Administrator
Excellent,Beginner,Average,Average,Average,Intermediate,Average,Intermediate,Not Interested,Excellent,Poor,Average,Average,Beginner,Poor,Intermediate,Poor,Database Administrator
Excellent,Average,Not Interested,Intermediate,Beginner,Intermediate,Intermediate,Beginner,Not Interested,Beginner,Average,Average,Average,Intermediate,Beginner,Intermediate,Not Interested,Database Administrator
Excellent,Excellent,Poor,Intermediate,Beginner,Poor,Beginner,Excellent,Beginner,Professional,Poor,Average,Not Interested,Beginner,Beginner,Intermediate,Poor,Database Administrator
Excellent,Poor,Poor,Intermediate,Intermediate,Poor,Average,Poor,Poor,Not Interested,Beginner,Average,Beginner,Poor,Not Interested,Intermediate,Beginner,Database Administrator
Excellent,Professional,Beginner,Intermediate,Not Interested,Not Interested,Average,Average,Excellent,Intermediate,Beginner,Average,Beginner,Intermediate,Average,Intermediate,Poor,Database Administrator
Excellent,Not Interested,Beginner,Beginner,Beginner,Poor,Average,Beginner,Average,Beginner,Beginner,Average,Professional,Average,Professional,Intermediate,Average,Database Administrator
Excellent,Beginner,Professional,Poor,Average,Average,Professional,Intermediate,Not Interested,Average,Not Interested,Average,Intermediate,Average,Intermediate,Intermediate,Not Interested,Database Administrator
Excellent,Beginner,Beginner,Beginner,Not Interested,Beginner,Poor,Poor,Intermediate,Excellent,Not Interested,Average,Poor,Beginner,Not Interested,Intermediate,Average,Database Administrator
Excellent,Poor,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Not Interested,Average,Intermediate,Professional,Average,Average,Poor,Beginner,Intermediate,Intermediate,Database Administrator
Excellent,Excellent,Average,Poor,Poor,Intermediate,Poor,Poor,Beginner,Beginner,Intermediate,Average,Professional,Average,Average,Intermediate,Not Interested,Database Administrator
Excellent,Not Interested,Intermediate,Beginner,Professional,Not Interested,Beginner,Not Interested,Not Interested,Professional,Average,Average,Beginner,Poor,Average,Intermediate,Excellent,Database Administrator
Excellent,Beginner,Beginner,Intermediate,Average,Beginner,Average,Beginner,Beginner,Beginner,Professional,Average,Average,Intermediate,Average,Intermediate,Intermediate,Database Administrator
Excellent,Beginner,Excellent,Beginner,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Average,Average,Average,Average,Not Interested,Poor,Intermediate,Intermediate,Database Administrator
Excellent,Beginner,Not Interested,Average,Not Interested,Average,Intermediate,Not Interested,Beginner,Beginner,Not Interested,Average,Poor,Poor,Professional,Intermediate,Average,Database Administrator
Excellent,Beginner,Excellent,Beginner,Poor,Intermediate,Intermediate,Intermediate,Poor,Professional,Average,Average,Not Interested,Professional,Average,Intermediate,Average,Database Administrator
Excellent,Excellent,Poor,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Poor,Not Interested,Intermediate,Average,Beginner,Intermediate,Average,Intermediate,Average,Database Administrator
Excellent,Average,Excellent,Average,Beginner,Beginner,Not Interested,Poor,Not Interested,Excellent,Excellent,Average,Not Interested,Beginner,Professional,Intermediate,Poor,Database Administrator
Excellent,Poor,Poor,Professional,Beginner,Poor,Beginner,Poor,Beginner,Professional,Excellent,Average,Professional,Not Interested,Poor,Intermediate,Intermediate,Database Administrator
Excellent,Poor,Professional,Poor,Intermediate,Professional,Poor,Intermediate,Professional,Intermediate,Average,Average,Average,Beginner,Beginner,Intermediate,Intermediate,Database Administrator
Excellent,Not Interested,Professional,Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Not Interested,Not Interested,Average,Not Interested,Beginner,Intermediate,Intermediate,Intermediate,Database Administrator
Excellent,Beginner,Intermediate,Average,Average,Average,Professional,Intermediate,Beginner,Intermediate,Average,Average,Average,Poor,Not Interested,Intermediate,Poor,Database Administrator
Excellent,Poor,Average,Average,Excellent,Intermediate,Average,Beginner,Professional,Intermediate,Beginner,Average,Professional,Not Interested,Not Interested,Intermediate,Excellent,Database Administrator
Excellent,Poor,Beginner,Intermediate,Poor,Beginner,Professional,Beginner,Average,Professional,Intermediate,Average,Poor,Poor,Professional,Intermediate,Not Interested,Database Administrator
Excellent,Excellent,Beginner,Average,Intermediate,Beginner,Professional,Intermediate,Average,Average,Beginner,Average,Professional,Intermediate,Excellent,Intermediate,Beginner,Database Administrator
Excellent,Poor,Average,Beginner,Intermediate,Poor,Beginner,Average,Excellent,Poor,Poor,Average,Not Interested,Professional,Not Interested,Intermediate,Intermediate,Database Administrator
Excellent,Beginner,Beginner,Poor,Beginner,Average,Average,Excellent,Professional,Intermediate,Beginner,Average,Not Interested,Average,Average,Intermediate,Not Interested,Database Administrator
Excellent,Professional,Professional,Professional,Average,Intermediate,Intermediate,Beginner,Average,Poor,Average,Average,Poor,Intermediate,Intermediate,Intermediate,Professional,Database Administrator
Excellent,Poor,Beginner,Average,Not Interested,Intermediate,Excellent,Beginner,Not Interested,Professional,Not Interested,Average,Poor,Average,Intermediate,Intermediate,Beginner,Database Administrator
Excellent,Professional,Excellent,Beginner,Professional,Average,Professional,Poor,Not Interested,Beginner,Poor,Average,Average,Not Interested,Professional,Intermediate,Poor,Database Administrator
Excellent,Beginner,Intermediate,Beginner,Average,Not Interested,Average,Intermediate,Intermediate,Professional,Poor,Average,Beginner,Not Interested,Intermediate,Intermediate,Beginner,Database Administrator
Excellent,Beginner,Intermediate,Intermediate,Poor,Average,Professional,Poor,Average,Professional,Average,Average,Beginner,Poor,Average,Intermediate,Beginner,Database Administrator
Excellent,Beginner,Not Interested,Poor,Beginner,Excellent,Average,Intermediate,Poor,Average,Poor,Average,Professional,Average,Intermediate,Intermediate,Professional,Database Administrator
Excellent,Intermediate,Beginner,Beginner,Average,Poor,Average,Average,Professional,Average,Poor,Average,Not Interested,Not Interested,Professional,Intermediate,Poor,Database Administrator
Excellent,Excellent,Poor,Average,Beginner,Beginner,Not Interested,Average,Beginner,Beginner,Beginner,Average,Poor,Excellent,Not Interested,Intermediate,Beginner,Database Administrator
Excellent,Poor,Not Interested,Beginner,Not Interested,Poor,Not Interested,Beginner,Poor,Average,Beginner,Average,Not Interested,Beginner,Beginner,Intermediate,Average,Database Administrator
Excellent,Beginner,Beginner,Not Interested,Intermediate,Beginner,Average,Poor,Not Interested,Intermediate,Intermediate,Average,Not Interested,Average,Beginner,Intermediate,Beginner,Database Administrator
Excellent,Intermediate,Poor,Excellent,Beginner,Beginner,Intermediate,Poor,Average,Average,Beginner,Average,Beginner,Excellent,Not Interested,Intermediate,Poor,Database Administrator
Excellent,Poor,Average,Beginner,Beginner,Intermediate,Not Interested,Not Interested,Average,Poor,Average,Average,Not Interested,Beginner,Poor,Intermediate,Beginner,Database Administrator
Excellent,Not Interested,Average,Beginner,Poor,Professional,Professional,Intermediate,Beginner,Average,Professional,Average,Not Interested,Not Interested,Poor,Intermediate,Average,Database Administrator
Excellent,Average,Average,Professional,Intermediate,Poor,Poor,Average,Not Interested,Beginner,Poor,Average,Average,Average,Intermediate,Intermediate,Intermediate,Database Administrator
Excellent,Not Interested,Poor,Intermediate,Intermediate,Average,Professional,Professional,Intermediate,Not Interested,Intermediate,Excellent,Average,Not Interested,Excellent,Not Interested,Average,Data Scientist
Average,Average,Poor,Professional,Beginner,Intermediate,Professional,Intermediate,Beginner,Not Interested,Intermediate,Intermediate,Poor,Average,Excellent,Poor,Professional,Data Scientist
Intermediate,Poor,Professional,Not Interested,Intermediate,Intermediate,Professional,Not Interested,Beginner,Intermediate,Intermediate,Average,Poor,Average,Excellent,Beginner,Average,Data Scientist
Average,Poor,Professional,Poor,Poor,Not Interested,Professional,Not Interested,Beginner,Intermediate,Intermediate,Average,Average,Intermediate,Excellent,Intermediate,Not Interested,Data Scientist
Not Interested,Intermediate,Not Interested,Not Interested,Average,Professional,Professional,Intermediate,Excellent,Not Interested,Intermediate,Poor,Intermediate,Professional,Excellent,Poor,Professional,Data Scientist
Average,Average,Beginner,Average,Not Interested,Poor,Professional,Average,Intermediate,Poor,Intermediate,Average,Not Interested,Excellent,Excellent,Beginner,Poor,Data Scientist
Beginner,Beginner,Poor,Poor,Average,Poor,Professional,Not Interested,Beginner,Not Interested,Intermediate,Average,Excellent,Poor,Excellent,Excellent,Average,Data Scientist
Professional,Beginner,Poor,Professional,Average,Beginner,Professional,Not Interested,Average,Excellent,Intermediate,Poor,Beginner,Average,Excellent,Intermediate,Poor,Data Scientist
Poor,Beginner,Intermediate,Beginner,Average,Poor,Professional,Beginner,Not Interested,Professional,Intermediate,Intermediate,Average,Poor,Excellent,Not Interested,Not Interested,Data Scientist
Not Interested,Poor,Beginner,Average,Not Interested,Beginner,Professional,Poor,Intermediate,Professional,Intermediate,Poor,Intermediate,Poor,Excellent,Intermediate,Beginner,Data Scientist
Excellent,Professional,Average,Professional,Average,Poor,Professional,Beginner,Average,Not Interested,Intermediate,Poor,Average,Average,Excellent,Intermediate,Not Interested,Data Scientist
Average,Poor,Poor,Excellent,Average,Beginner,Professional,Professional,Poor,Average,Intermediate,Poor,Poor,Excellent,Excellent,Beginner,Intermediate,Data Scientist
Professional,Beginner,Intermediate,Not Interested,Not Interested,Average,Professional,Poor,Intermediate,Not Interested,Intermediate,Intermediate,Beginner,Intermediate,Excellent,Not Interested,Beginner,Data Scientist
Poor,Average,Average,Intermediate,Poor,Not Interested,Professional,Not Interested,Poor,Average,Intermediate,Beginner,Intermediate,Beginner,Excellent,Beginner,Beginner,Data Scientist
Not Interested,Not Interested,Not Interested,Beginner,Professional,Professional,Professional,Average,Average,Beginner,Intermediate,Not Interested,Not Interested,Beginner,Excellent,Beginner,Not Interested,Data Scientist
Beginner,Average,Average,Average,Professional,Average,Professional,Intermediate,Average,Not Interested,Intermediate,Excellent,Average,Beginner,Excellent,Excellent,Intermediate,Data Scientist
Average,Poor,Professional,Not Interested,Poor,Intermediate,Professional,Not Interested,Beginner,Poor,Intermediate,Poor,Average,Poor,Excellent,Not Interested,Poor,Data Scientist
Average,Average,Beginner,Intermediate,Not Interested,Professional,Professional,Not Interested,Poor,Poor,Intermediate,Not Interested,Beginner,Intermediate,Excellent,Average,Average,Data Scientist
Beginner,Intermediate,Professional,Not Interested,Poor,Excellent,Professional,Average,Beginner,Poor,Intermediate,Beginner,Beginner,Intermediate,Excellent,Intermediate,Poor,Data Scientist
Professional,Not Interested,Average,Beginner,Not Interested,Average,Professional,Average,Average,Average,Intermediate,Beginner,Poor,Not Interested,Excellent,Poor,Beginner,Data Scientist
Intermediate,Average,Poor,Beginner,Beginner,Not Interested,Professional,Professional,Beginner,Intermediate,Intermediate,Professional,Not Interested,Professional,Excellent,Poor,Beginner,Data Scientist
Poor,Beginner,Beginner,Beginner,Beginner,Average,Professional,Professional,Poor,Average,Intermediate,Poor,Poor,Professional,Excellent,Not Interested,Poor,Data Scientist
